22:59:41|2016-03-26|12.18|96.34
22:59:51|2016-03-26|15.69|79.69
23:00:01|2016-03-26|38.32|50.35
23:00:11|2016-03-26|33.04|83.14
23:00:21|2016-03-26|33.30|50.58
23:00:31|2016-03-26|6.914|71.87
23:00:41|2016-03-26|36.86|68.77
23:00:51|2016-03-26|14.46|51.39
23:01:01|2016-03-26|9.939|67.07
23:01:11|2016-03-26|30.36|83.42
23:01:21|2016-03-26|11.39|50.51
23:01:31|2016-03-26|29.99|76.51
23:01:41|2016-03-26|22.13|74.09
23:01:51|2016-03-26|37.03|74.99
23:02:02|2016-03-26|44.88|58.93
23:02:12|2016-03-26|19.50|94.66
23:02:20|2016-03-26|26.08|99.00
23:02:44|2016-03-26|22.00|70.42
23:02:54|2016-03-26|10.12|82.63
23:03:08|2016-03-26|32.83|75.00
23:03:18|2016-03-26|16.01|80.44
23:28:26|2016-03-26|19.92|72.28
23:28:36|2016-03-26|39.35|88.91
23:57:01|2016-03-26|19.81|87.77
23:58:33|2016-03-26|11.48|80.49
00:08:13|2016-03-27|6.333|55.34
00:08:23|2016-03-27|6.193|63.87
00:09:11|2016-03-27|31.47|69.82
00:09:21|2016-03-27|36.89|65.58
00:09:31|2016-03-27|41.11|70.01
00:09:41|2016-03-27|25.55|85.87
09:37:26|2016-03-27|14.17|98.17
11:53:53|2016-03-27|44.62|82.80
11:55:49|2016-03-27|7.678|68.76
11:55:59|2016-03-27|19.25|95.97
14:40:33|2016-03-27|8.068|59.82
14:40:43|2016-03-27|16.91|90.52
14:40:53|2016-03-27|7.872|75.54
14:41:03|2016-03-27|26.18|79.80
14:41:13|2016-03-27|14.68|51.38
14:49:50|2016-03-27|38.87|97.50
14:51:07|2016-03-27|31.54|86.94
14:59:03|2016-03-27|11.06|64.77
14:59:13|2016-03-27|43.80|88.85
15:09:46|2016-03-27|6.950|68.15
15:09:56|2016-03-27|43.96|50.44
15:10:57|2016-03-27|10.71|94.30
15:16:06|2016-03-27|41.14|60.52
15:16:16|2016-03-27|10.38|54.88
15:16:26|2016-03-27|40.89|78.82
15:16:36|2016-03-27|9.255|77.74
15:16:46|2016-03-27|8.266|83.97
15:16:56|2016-03-27|17.43|86.41
15:18:37|2016-03-27|19.02|51.69
15:19:26|2016-03-27|19.21|70.34
15:19:54|2016-03-27|12.65|59.48
15:21:52|2016-03-27|40.72|74.00
15:48:51|2016-03-27|39.89|91.07
15:49:01|2016-03-27|9.313|93.32
15:49:10|2016-03-27|44.03|64.45
15:49:11|2016-03-27|8.414|60.25
15:49:20|2016-03-27|32.39|76.11
15:49:21|2016-03-27|10.80|75.16
15:49:30|2016-03-27|13.32|95.01
15:49:57|2016-03-27|13.47|68.94
15:50:08|2016-03-27|37.91|82.92
15:50:38|2016-03-27|8.309|78.01
16:01:07|2016-03-27|5.829|94.80
16:01:17|2016-03-27|22.38|81.42
16:01:27|2016-03-27|24.59|71.15
16:01:37|2016-03-27|13.15|91.12
